streetname_nl,house_number,postcode,municipality_name_nl,EPSG:4326_lat,EPSG:4326_lon
Goorbaan,59,2230,Herselt,51.04939,4.91743
Boelenaar,4,9031,Gent,51.05297,3.65608
Wolterslaan,127,9040,Gent,51.04856,3.75008
Terheydestraat,22,1640,Sint-Genesius-Rode,50.73961,4.35479
Brandstraat,20,9870,Zulte,50.94962,3.50233
Jozef Stormsstraat,42,2660,Antwerpen,51.18409,4.35690
Bruggestraat,103,8830,Hooglede,50.98116,3.09038
Boudewijnlaan,49,8300,Knokke-Heist,51.34239,3.28732
Langenbos,4,8791,Waregem,50.86413,3.35023
Wallestraat,2,9506,Geraardsbergen,50.77866,3.97185
Korte Lindenstraat,17,9300,Aalst,50.93993,4.02011
Larenstraat,68,3560,Lummen,51.00312,5.18914
Félix Wittouckstraat,43,1600,Sint-Pieters-Leeuw,50.80714,4.29064
Geraniumlaan,20,8790,Waregem,50.88631,3.41482
Tongerlostraat,4,2380,Ravels,51.36464,4.98818
Kattenbos,82,1750,Lennik,50.83202,4.15246
Molenstraat,58,8800,Roeselare,50.94270,3.11718
Lange Haagstraat,60,1700,Dilbeek,50.86155,4.24110
Lange Zavelstraat,47,2060,Antwerpen,51.22303,4.42761
Luciëndallaan,36,3800,Sint-Truiden,50.82742,5.18163
Turnhoutsebaan,197,2970,Schilde,51.24123,4.58379
Vogelkerslaan,1,2950,Kapellen,51.35115,4.45248
Kruisbergstraat,9,9230,Wetteren,51.00564,3.89330
Kwakkelstraat,134,1800,Vilvoorde,50.90842,4.37956
Uilenstraat,13,9100,Sint-Niklaas,51.18499,4.16375
Meldertsebaan,1B,3560,Lummen,50.99711,5.14377
Eikenstraat,3,8530,Harelbeke,50.84002,3.31102
Zonnelaan,15,8500,Kortrijk,50.83947,3.27873
Vaartstraat,25,2340,Beerse,51.32382,4.82949
Groot-Bijgaardenstraat,368,1601,Sint-Pieters-Leeuw,50.79041,4.29206
Ganzenkoor,43,2570,Duffel,51.09292,4.48953
Sparrenstraat,3,2020,Antwerpen,51.18433,4.39251
Burgemeester Lemmensstraat,40A,9220,Hamme,51.06518,4.15710
Grote Steenweg,376,3350,Linter,50.84911,5.05648
Lijsterlaan,55,8790,Waregem,50.88085,3.44504
Lindestraat,19,1785,Merchtem,50.91714,4.28596
Veldstraat,197,9140,Temse,51.14068,4.21996
Provenplein,1,8972,Poperinge,50.88943,2.65798
Boezingestraat,22,8920,Langemark-Poelkapelle,50.91210,2.92077
Fregatstraat,14,9000,Gent,51.08871,3.72216
Sint-Katarinastraat,177,8310,Brugge,51.19779,3.23708
Het Schoemeken,3,2970,Schilde,51.23916,4.58671
O. L. Vrouwstraat,203,3570,Alken,50.90352,5.26562
Leuvenselaan,88,3300,Tienen,50.81062,4.92621
Kerkplein,20,3582,Beringen,51.05922,5.27231
Merelstraat,1,9340,Lede,50.97011,3.99596
Schoonzichtstraat,4,8670,Koksijde,51.11871,2.63741
Bruggestraat,245,8770,Ingelmunster,50.93499,3.25024
Louisastraat,46,3120,Tremelo,50.99954,4.72241
Brouwersstraat,2,3190,Boortmeerbeek,50.98173,4.57277
Humbeeksebaan,202,1980,Zemst,50.99260,4.41668
Nelemeersstraat,48,9830,Sint-Martens-Latem,51.01979,3.61561
